iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
376,3.560e+02,4.01e+06,7.23e+07,1.02e+05
377,3.946e+02,4.68e+06,2.24e+08,1.14e+05
378,3.011e+02,4.60e+06,1.91e+08,1.18e+05
379,4.045e+02,4.95e+06,3.22e+07,1.38e+05
380,2.994e+02,4.83e+06,2.58e+08,1.18e+05
381,3.962e+02,4.29e+06,1.96e+07,1.22e+05
382,3.839e+02,5.07e+06,1.11e+08,1.39e+05
383,4.782e+02,4.97e+06,9.67e+07,1.40e+05
384,3.748e+02,4.84e+06,1.21e+08,1.31e+05
385,3.309e+02,5.05e+06,1.81e+08,1.32e+05
386,2.788e+02,4.04e+06,3.13e+08,1.00e+05
387,3.771e+02,4.64e+06,4.38e+07,1.48e+05
388,3.854e+02,5.12e+06,5.69e+07,1.31e+05
389,3.516e+02,4.79e+06,9.44e+07,1.16e+05
390,3.392e+02,4.65e+06,2.20e+08,1.18e+05
391,2.807e+02,3.83e+06,1.73e+07,8.48e+04
392,3.049e+02,3.80e+06,1.64e+08,9.31e+04
393,3.309e+02,5.27e+06,2.22e+08,1.55e+05
394,3.858e+02,4.46e+06,2.43e+08,1.13e+05
395,3.386e+02,4.31e+06,1.10e+08,1.17e+05
396,3.639e+02,4.86e+06,1.64e+08,1.20e+05
397,3.604e+02,4.09e+06,1.41e+07,1.00e+05
398,2.229e+02,4.02e+06,4.92e+07,9.77e+04
399,3.886e+02,4.86e+06,1.26e+07,1.34e+05
400,4.401e+02,4.88e+06,4.74e+08,1.25e+05
401,3.481e+02,4.74e+06,5.13e+07,1.22e+05
402,3.026e+02,4.39e+06,1.27e+08,1.15e+05
403,3.869e+02,4.51e+06,4.92e+07,1.16e+05
404,4.088e+02,4.56e+06,4.35e+07,1.17e+05
405,3.481e+02,4.10e+06,4.02e+07,9.72e+04
406,2.875e+02,4.36e+06,1.60e+08,1.18e+05
407,3.560e+02,3.79e+06,2.72e+07,1.03e+05
408,3.584e+02,3.87e+06,5.59e+07,9.88e+04
409,3.873e+02,4.02e+06,4.76e+07,9.24e+04
410,3.056e+02,4.88e+06,1.29e+08,1.27e+05
411,3.026e+02,4.16e+06,1.78e+08,1.08e+05
412,3.714e+02,3.95e+06,4.43e+07,1.01e+05
413,2.934e+02,4.15e+06,1.41e+07,1.07e+05
414,3.284e+02,4.36e+06,6.63e+07,9.69e+04
415,3.163e+02,4.43e+06,5.55e+07,1.02e+05
416,3.030e+02,4.59e+06,9.04e+07,1.27e+05
417,3.615e+02,4.52e+06,3.77e+07,1.22e+05
418,3.497e+02,4.40e+06,3.43e+08,1.04e+05
419,4.381e+02,4.34e+06,3.42e+08,1.12e+05
420,3.791e+02,5.68e+06,3.62e+07,1.42e+05
421,3.094e+02,4.99e+06,9.31e+07,1.46e+05
422,3.680e+02,4.27e+06,1.84e+08,1.15e+05
423,3.900e+02,4.07e+06,1.34e+08,1.02e+05
424,2.874e+02,5.16e+06,6.65e+06,1.36e+05
425,3.691e+02,4.16e+06,1.05e+07,1.07e+05
426,4.126e+02,4.40e+06,2.24e+08,1.10e+05
427,4.023e+02,4.53e+06,2.06e+08,1.22e+05
428,3.227e+02,5.05e+06,2.16e+08,1.28e+05
429,3.423e+02,4.68e+06,2.12e+08,1.40e+05
430,4.181e+02,4.71e+06,1.14e+08,1.41e+05
431,3.538e+02,4.38e+06,2.07e+07,1.23e+05
432,3.361e+02,5.14e+06,3.70e+08,1.23e+05
433,4.595e+02,4.43e+06,1.55e+08,9.71e+04
434,2.939e+02,5.14e+06,1.14e+08,1.39e+05
435,3.456e+02,3.73e+06,5.19e+07,8.94e+04
436,4.065e+02,3.98e+06,2.56e+08,1.07e+05
437,3.847e+02,4.97e+06,6.64e+07,1.30e+05
438,3.463e+02,4.84e+06,2.78e+08,1.32e+05
439,2.626e+02,4.66e+06,1.55e+08,1.32e+05
440,3.479e+02,4.76e+06,4.23e+07,1.22e+05
441,3.932e+02,4.24e+06,2.92e+07,1.07e+05
442,3.847e+02,4.10e+06,2.15e+07,1.14e+05
443,3.214e+02,4.20e+06,5.37e+07,1.03e+05
444,2.861e+02,4.56e+06,3.91e+08,1.14e+05
445,3.253e+02,4.63e+06,1.57e+07,1.26e+05
446,3.605e+02,4.19e+06,1.03e+08,1.12e+05
447,3.095e+02,4.14e+06,2.59e+08,1.04e+05
448,3.200e+02,4.27e+06,7.49e+06,1.03e+05
449,3.364e+02,4.94e+06,2.28e+08,1.30e+05
450,4.056e+02,4.46e+06,6.23e+07,1.12e+05
451,3.232e+02,5.28e+06,6.27e+07,1.43e+05
452,3.177e+02,4.54e+06,1.28e+07,1.07e+05
453,3.074e+02,5.27e+06,2.77e+08,1.38e+05
454,3.045e+02,4.33e+06,3.33e+07,1.08e+05
455,3.140e+02,3.83e+06,7.71e+07,1.01e+05
456,4.014e+02,4.24e+06,3.94e+07,1.18e+05
